coin,amount
ADA,300000
APTOS,1.5
BTC,108000.00136131
ETH,64.356881257500858402
USDT-TON,170.479995

coin,Type,Network,Snapshot Height,address,amount,message,signature1,signature2,redeem script/ public key,EOA1,EOA2
ETH,Non Staking,ETH,20914735,0x0cdcdb19a857c2ac24818ca4fdfe38cce071483e,0.058959708849230328,I am an OKX address,0x07f19879aa28d51c97cddfdfecffe7ed96525545d041aee4f4386b0bf4c1a26924b637fb02ccbb97305c13daa51a0f50b8896fb25ecbaf60020cde920d227a221b,,,,
ETH,Native ETH Staking,ETH,20914735,0xabababababababababababababababababababababababababababababababababababababababababababababababab,32,I am an OKX address,0x07f19879aa28d51c97cddfdfecffe7ed96525545d041aee4f4386b0bf4c1a26924b637fb02ccbb97305c13daa51a0f50b8896fb25ecbaf60020cde920d227a221b,,,0x0cdcdb19a857c2ac24818ca4fdfe38cce071483e,
ETH,Eigenlayer Staking,ETH,20914735,0xcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcd,32,I am an OKX address,0x07f19879aa28d51c97cddfdfecffe7ed96525545d041aee4f4386b0bf4c1a26924b637fb02ccbb97305c13daa51a0f50b8896fb25ecbaf60020cde920d227a221b,0xf6e60fd5d2692eaf813cbb38369c160781a063e39dbadde9a88998a4c8019e08488f83a6e7ee5e5b3fbdd50f25db631150070e8bb470d1474eb0e6d9a1fd0c561c,,0x0cdcdb19a857c2ac24818ca4fdfe38cce071483e,0x16f01cfc16b0b8c3400fb8e5099b0974fcc9fc12
BTC,Non Staking,BTC,100,bc1pk0wjw0ygsz9zrz6d8su3hd4874wcnu66azmrw09c8nxmu3jyfk2sdfxdnj,100000,I am an OKX address,AUCxq+Eh2KkyIcH1fC3wHyUxKIx+mhFin6OfsvVma2xpv3LaYJgVBH+XGOOcj6mwzQAysQwW1M2bfCn3FQgCtfU5,,,,
BTC,Non Staking,BTC,956934,13jTtHxBPFwZkaCdm6BwJMMJkqvTpBZccw,3000.00009302,I am an OKX address,IPUTSOQjXrOLy7WXyalVeuIpTlvQENsSjdjNETlvTNo+MB6LDF22NpGR9ragpCV8GnyyxXibUTgtrFjqR4A4acU=,H5PEB4/dXOxDDpzwbk0k3xjkxAeEPtnoFlzkDMiNPyApXbdkQWbzHiH/k5qn2JOuSfBGEo1s+b72iZayd/VzPe0=,,,
BTC,Non Staking,BTC,956934,1LnoZawVFFQihU8d8ntxLMpYheZUfyeVAK,5000.00126829,I am an OKX address,IBUhkyQBj9/LQuaGjZJ08ZTkQuJmWAmZYDUVCgsOth2KXUmzrPgFmfbSqK/WPblvm6TR+fkITjyPJccvoO8iuzE=,H5PEB4/dXOxDDpzwbk0k3xjkxAeEPtnoFlzkDMiNPyApXbdkQWbzHiH/k5qn2JOuSfBGEo1s+b72iZayd/VzPe0=,,,
ETH,Non Staking,ETH,20914735,0x16f01cfc16b0b8c3400fb8e5099b0974fcc9fc12,0.148960774325814037,I am an OKX address,0xf6e60fd5d2692eaf813cbb38369c160781a063e39dbadde9a88998a4c8019e08488f83a6e7ee5e5b3fbdd50f25db631150070e8bb470d1474eb0e6d9a1fd0c561c,,,,
ETH,Non Staking,ETH,20914735,0x57e2dcd253527a0f70c6a3de3556f6e6e163f19c,0.148960774325814037,I am an OKX address,0x07f19879aa28d51c97cddfdfecffe7ed96525545d041aee4f4386b0bf4c1a26924b637fb02ccbb97305c13daa51a0f50b8896fb25ecbaf60020cde920d227a221b,0xf6e60fd5d2692eaf813cbb38369c160781a063e39dbadde9a88998a4c8019e08488f83a6e7ee5e5b3fbdd50f25db631150070e8bb470d1474eb0e6d9a1fd0c561c,,0x0cdcdb19a857c2ac24818ca4fdfe38cce071483e,0x16f01cfc16b0b8c3400fb8e5099b0974fcc9fc12
USDT-TON,Non Staking,TON,43716515,UQB1CKrUWm7qf41Z1GeEE6AgVVj5cH6y6x1aRmWe6q4mj1fn,170.479995,I am an OKX address,0x6c5b3b11b8d4a7b356cb4e4e4a960e476d05b52824a62ef961054617b401f157ef6c01c537f3751c22ba018f97b067d508b455f6cbdf757a64ca2571e76dc004,,6711ba8eaa47855b01d73e3849cd93861b1c11d7a86ae5fb8f96bb63d9be5a6b,,
APTOS,Non Staking,APTOS,100,0xdeadbeefdeadbeefdeadbeefdeadbeefdeadbeefdeadbeefdeadbeefdeadbeef,1.5,I am an OKX address,0xab8864be5630560bdd97ba9db7a1f30730779d294f5ecf66ca56039807ef1d0cc83a7653bb7359c8f7cd4f0f1df45164d3c3916b534bc3bf68bb3e8f8168bc04,,0x75067a6dbd4dced2f1ab3a58a2b2103daa0def4d436315f98134957399809aac,0x5bb5d85934c7587a22960ef72e9d8cd5313a60447e57a2183b1aae285d90352e,
